Model,Precision,Recall,F1-Score,Support,Accuracy,Predicted Positive Actual Positive,Predicted Positive Actual Negative,Predicted Negative Actual Positive,Predicted Negative Actual Negative
Logistic Regression,0.6071428571428571,0.2698412698412698,0.3736263736263736,252.0,0.8246153846153846,68,44,184,1004
Linear Discriminant Analysis,0.6030534351145038,0.3134920634920635,0.412532637075718,252.0,0.8269230769230769,79,52,173,996
Support Vector Machine,0.7083333333333334,0.2698412698412698,0.3908045977011494,252.0,0.8369230769230769,68,28,184,1020
Decision Tree Classifier,0.574468085106383,0.6428571428571429,0.6067415730337079,252.0,0.8384615384615385,162,120,90,928
Random Forest Classifier,0.7891891891891892,0.5793650793650794,0.6681922196796339,252.0,0.8884615384615384,146,39,106,1009
Gradient Boosting Classifier,0.6551724137931034,0.376984126984127,0.47858942065491183,252.0,0.8407692307692308,95,50,157,998
AdaBoost,0.6692307692307692,0.34523809523809523,0.45549738219895286,252.0,0.84,87,43,165,1005
Bagging Classifier,0.7368421052631579,0.5555555555555556,0.6334841628959277,252.0,0.8753846153846154,140,50,112,998
K-Nearest Neighbors,0.5876288659793815,0.4523809523809524,0.5112107623318385,252.0,0.8323076923076923,114,80,138,968
Gaussian Naive Bayes,0.42297650130548303,0.6428571428571429,0.510236220472441,252.0,0.7607692307692308,162,221,90,827
Quadratic Discriminant Analysis,0.43967828418230565,0.6507936507936508,0.5248,252.0,0.7715384615384615,164,209,88,839
Multilayer Perceptron,0.6546762589928058,0.3611111111111111,0.4654731457800512,252.0,0.8392307692307692,91,48,161,1000
Ridge Classifier,0.6779661016949152,0.15873015873015872,0.2572347266881029,252.0,0.8223076923076923,40,19,212,1029
ExtraTrees Classifier,0.8294117647058824,0.5595238095238095,0.6682464454976303,252.0,0.8923076923076924,141,29,111,1019
Isolation Forest,0.20137103684661525,0.9325396825396826,0.33121916842847077,252.0,0.18076923076923077,0,0,116,0
