Model,Precision,Recall,F1-Score,Support,Accuracy,Predicted Positive Actual Positive,Predicted Positive Actual Negative,Predicted Negative Actual Positive,Predicted Negative Actual Negative
Logistic Regression,0.5909090909090909,0.2765957446808511,0.37681159420289856,47.0,0.865625,13,9,34,264
Linear Discriminant Analysis,0.4857142857142857,0.3617021276595745,0.41463414634146345,47.0,0.85,17,18,30,255
Support Vector Machine,0.7058823529411765,0.2553191489361702,0.37499999999999994,47.0,0.875,12,5,35,268
Decision Tree Classifier,0.5714285714285714,0.5106382978723404,0.5393258426966292,47.0,0.871875,24,18,23,255
Random Forest Classifier,0.7272727272727273,0.5106382978723404,0.5999999999999999,47.0,0.9,24,9,23,264
Gradient Boosting Classifier,0.6363636363636364,0.44680851063829785,0.5249999999999999,47.0,0.88125,21,12,26,261
AdaBoost,0.45454545454545453,0.3191489361702128,0.375,47.0,0.84375,15,18,32,255
Bagging Classifier,0.7368421052631579,0.5957446808510638,0.6588235294117647,47.0,0.909375,28,10,19,263
K-Nearest Neighbors,0.6451612903225806,0.425531914893617,0.5128205128205128,47.0,0.88125,20,11,27,262
Gaussian Naive Bayes,0.4868421052631579,0.7872340425531915,0.6016260162601627,47.0,0.846875,37,39,10,234
Quadratic Discriminant Analysis,0.4307692307692308,0.5957446808510638,0.5,47.0,0.825,28,37,19,236
Multilayer Perceptron,0.6666666666666666,0.3829787234042553,0.48648648648648646,47.0,0.88125,18,9,29,264
Ridge Classifier,0.7142857142857143,0.10638297872340426,0.18518518518518517,47.0,0.8625,5,2,42,271
ExtraTrees Classifier,0.8571428571428571,0.5106382978723404,0.64,47.0,0.915625,24,4,23,269
Isolation Forest,0.13448275862068965,0.8297872340425532,0.2314540059347181,47.0,0.121875,0,0,22,0
