Model,Precision,Recall,F1-Score,Support,Accuracy,Predicted Positive Actual Positive,Predicted Positive Actual Negative,Predicted Negative Actual Positive,Predicted Negative Actual Negative
Logistic Regression,0.5818181818181818,0.28193832599118945,0.3798219584569733,227.0,0.786734693877551,64,46,163,707
Linear Discriminant Analysis,0.5666666666666667,0.29955947136563876,0.3919308357348703,227.0,0.7846938775510204,68,52,159,701
Support Vector Machine,0.7549019607843137,0.3392070484581498,0.46808510638297873,227.0,0.8214285714285714,77,25,150,728
Decision Tree Classifier,0.606425702811245,0.6651982378854625,0.634453781512605,227.0,0.8224489795918367,151,98,76,655
Random Forest Classifier,0.8529411764705882,0.6387665198237885,0.7304785894206548,227.0,0.8908163265306123,145,25,82,728
Gradient Boosting Classifier,0.704225352112676,0.44052863436123346,0.5420054200542005,227.0,0.8275510204081633,100,42,127,711
AdaBoost,0.6163522012578616,0.43171806167400884,0.5077720207253885,227.0,0.8061224489795918,98,61,129,692
Bagging Classifier,0.8058823529411765,0.6035242290748899,0.6901763224181361,227.0,0.8744897959183674,137,33,90,720
K-Nearest Neighbors,0.6853932584269663,0.5374449339207048,0.6024691358024692,227.0,0.8357142857142857,122,56,105,697
Gaussian Naive Bayes,0.4262734584450402,0.7004405286343612,0.53,227.0,0.7122448979591837,159,214,68,539
Quadratic Discriminant Analysis,0.4595375722543353,0.7004405286343612,0.5549738219895288,227.0,0.7397959183673469,159,187,68,566
Multilayer Perceptron,0.7181208053691275,0.4713656387665198,0.5691489361702127,227.0,0.8346938775510204,107,42,120,711
Ridge Classifier,0.6865671641791045,0.2026431718061674,0.3129251700680272,227.0,0.7938775510204081,46,21,181,732
ExtraTrees Classifier,0.8323699421965318,0.6343612334801763,0.7200000000000001,227.0,0.8857142857142857,144,29,83,724
Isolation Forest,0.23777777777777778,0.9427312775330396,0.3797692990239574,227.0,0.21836734693877552,0,0,67,0
